,Year,Player,Pos,G,MP,PER,Team,Notes,index,Height,Weight,Age,Draft_year,Prev_Avg_EFF,After_Avg_EFF,Ankle ,Foot,Hip ,Knee,Finger,Shoulder,Back,Achilles,Hamstring,Other,Type 
184,2015,Devin Harris,PG,76,1685,14.8,Mavericks,placed on IL with left big toe injury (out for season),8,190.5,87.089664,32,2004,14.9,7.2,0,1,0,0,0,0,0,0,0,0,Foot
302,2017,Dion Waiters,SG,46,1384,14.5,Heat,sprained left ankle (out for season),10,193.04,99.79024,25,2012,10.6,9.9,1,0,0,0,0,0,0,0,0,0,Ankle
293,2017,Dirk Nowitzki,PF,54,1424,17,Mavericks,rest (out for season),10,213.36,111.13004,39,1998,19,6.3,0,0,0,0,0,0,0,0,0,1,Other
33,2011,Dominique Jones,SG,18,135,10.6,Mavericks,placed on IL with stress fracture in right foot (out for season),4,195.58,97.52228,22,2010,2.9,4.8,0,1,0,0,0,0,0,0,0,0,Foot
113,2013,Drew Gooden,C,16,151,7.7,Bucks,placed on IL (out for season),6,208.28,113.398,31,2002,13.03333333,7.5,0,0,0,0,0,0,0,0,0,1,Other
137,2014,Dwight Buycks,PG,14,146,7.2,Raptors,placed on IL (out for season),7,190.5,86.18248,25,Undrafted,3,6.1,0,0,0,0,0,0,0,0,0,1,Other
76,2012,Dwight Howard,C,54,2070,24.2,Magic,placed on IL with back spasms / herniated disc in back (out for season),5,210.82,120.20188,26,2004,26.8,23,0,0,0,0,0,0,1,0,0,0,Back
100,2012,Earl Watson,PG,50,1033,9.5,Jazz,placed on IL with knee injury (out for season),5,185.42,90.264808,33,2001,13.4,1.4,0,0,0,1,0,0,0,0,0,0,Knee
101,2012,Elliot Williams,SG,24,149,18.8,Blazers,placed on IL (F) (out for season),5,196,86,23,2010,2.9,5.1,0,0,0,0,0,0,0,0,0,1,Other
292,2017,Emmanuel Mudiay,PG,55,1406,10.9,Nuggets,sore/sprained right ankle (out for season),10,195.58,90.7184,21,2015,10.5,12.9,1,0,0,0,0,0,0,0,0,0,Ankle
164,2015,Eric Bledsoe,PG,81,2800,18.4,Suns,sprained left knee (out for season),8,185.42,88.45044,25,2010,8.2,20.8,0,0,0,1,0,0,0,0,0,0,Knee
244,2016,Eric Gordon,SG,45,1481,13.5,Pelicans,fractured right ring finger (out for season),9,193.04,97.52228,27,2008,15.5,13,0,0,0,0,1,0,0,0,0,0,Finger 
85,2012,Eric Maynor,PG,9,137,9.1,Thunder,placed on IL with torn ACL in right knee (out for season),5,190.5,79.3786,25,2009,6.266666667,2.9,0,0,0,1,0,0,0,0,0,0,Knee
179,2015,Evan Fournier,SG,58,1661,12.4,Magic,right hip injury (out for season),8,200.66,92.98636,22,2012,4.9,13.8,0,0,1,0,0,0,0,0,0,0,Hip
283,2017,Gary Harris,SG,57,1782,16.5,Nuggets,sore right knee (out for season),10,193.04,95.25432,22,2014,2.2,11,0,0,0,1,0,0,0,0,0,0,Knee
205,2015,Gary Neal,SG,54,1193,11.1,Timberwolves,sprained left ankle (out for season),8,193.04,95.25432,30,Undrafted,8.4,-0.5,1,0,0,0,0,0,0,0,0,0,Ankle
285,2017,George Hill,PG,49,1544,19.3,Jazz,placed on IL with sore left big toe (out for season),10,190.5,85.275296,31,2008,15.6,9.333333333,0,1,0,0,0,0,0,0,0,0,Foot
68,2012,Glen Davis,PF,61,1427,13.2,Magic,placed on IL with sprained right ankle (out for season),5,205.74,131.088088,26,2007,8.1,9.8,1,0,0,0,0,0,0,0,0,0,Ankle
185,2015,Gordon Hayward,SF,76,2618,20.2,Jazz,Achilles injury (out for season),8,203.2,102.0582,25,2010,5.7,21,0,0,0,0,0,0,0,1,0,0,Achilles
173,2015,Gorgui Dieng,C,73,2193,17.2,Timberwolves,concussion (out for season),8,210.82,105.686936,25,2013,8.4,16.4,0,0,0,0,0,0,0,0,0,1,Other
275,2017,Harrison Barnes,PF,79,2803,16.3,Mavericks,rest (out for season),10,203.2,102.0582,25,2012,9.2,13.93333333,0,0,0,0,0,0,0,0,0,1,Other
97,2012,Iman Shumpert,PG,59,1705,10.8,Knicks,torn lateral meniscus / ACL (CBC) in left knee (out for season),5,195.58,99.79024,22,2011,9.6,8.6,0,0,0,1,0,0,0,0,0,0,Knee
